package;class;method name;;;capabilities;;
com.sun.management;OperatingSystem;getCommittedVirtualMemorySize0;long; ;SYSTEM;;
com.sun.management;OperatingSystem;getFreePhysicalMemorySize;long; ;SYSTEM;;
com.sun.management;OperatingSystem;getFreeSwapSpaceSize;long; ;SYSTEM;;
com.sun.management;OperatingSystem;getProcessCpuLoad;double; ;SYSTEM;;
com.sun.management;OperatingSystem;getProcessCpuTime;long; ;SYSTEM;;
com.sun.management;OperatingSystem;getSystemCpuLoad;double; ;SYSTEM;;
com.sun.management;OperatingSystem;getTotalPhysicalMemorySize;long; ;SYSTEM;;
com.sun.management;OperatingSystem;getTotalSwapSpaceSize;long; ;SYSTEM;;
com.sun.management;OperatingSystem;initialize;void; ;NATIVE;;
java.io;Console;echo;boolean;boolean ;SYSTEM;;
java.io;Console;encoding;java.lang.String; ;SYSTEM;;
java.io;Console;istty;boolean; ;SYSTEM;;
java.lang;Runtime;availableProcessors;int; ;SYSTEM;;
java.lang;Runtime;freeMemory;long; ;SYSTEM;;
java.lang;Runtime;gc;void; ;SYSTEM;;
java.lang;Runtime;maxMemory;long; ;SYSTEM;;
java.lang;Runtime;totalMemory;long; ;SYSTEM;;
java.lang;Runtime;traceInstructions;void;boolean ;SYSTEM;;
java.lang;Runtime;traceMethodCalls;void;boolean ;SYSTEM;;
java.lang;System;currentTimeMillis;long; ;SYSTEM;;
java.lang;System;identityHashCode;int;java.lang.Object ;NATIVE;;
java.lang;System;initProperties;java.util.Properties;java.util.Properties ;NATIVE;;
java.lang;System;mapLibraryName;java.lang.String;java.lang.String ;SYSTEM;;
java.lang;System;nanoTime;long; ;SYSTEM;;
java.lang;System;registerNatives;void; ;NATIVE;;
java.lang;System;setErr0;void;java.io.PrintStream ;SYSTEM;;
java.lang;System;setIn0;void;java.io.InputStream ;SYSTEM;;
java.lang;System;setOut0;void;java.io.PrintStream ;SYSTEM;;
sun.misc;Version;getJdkSpecialVersion;java.lang.String; ;SYSTEM;;
sun.misc;Version;getJdkVersionInfo;void; ;SYSTEM;;
sun.misc;Version;getJvmSpecialVersion;java.lang.String; ;SYSTEM;;
sun.misc;Version;getJvmVersionInfo;boolean; ;SYSTEM;;
com.sun.media.sound;PortMixer;nClose;void;long ;NATIVE;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nControlGetFloatValue;float;long ;NATIVE;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nControlGetIntValue;int;long ;NATIVE;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nControlSetFloatValue;void;long,float ;NATIVE;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nControlSetIntValue;void;long,int ;NATIVE;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nGetControls;void;long,int,java.util.Vector ;SOUND;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nGetPortCount;int;long ;SOUND;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nGetPortName;java.lang.String;long,int ;SOUND;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nGetPortType;int;long,int ;SOUND;jsound, plattformspecific;1
com.sun.media.sound;PortMixer;nOpen;long;int ;NATIVE;jsound, plattformspecific;1
